K,Sequential Merge,Pairwise Merge
2,0.000000,0.000000
3,0.000000,0.000000
4,0.001000,0.000000
5,0.000000,0.000000
6,0.001000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.001000
10,0.001000,0.001000
11,0.000000,0.001000
12,0.000000,0.001000
13,0.000000,0.001000
14,0.001000,0.001000
15,0.000000,0.001000
16,0.001000,0.001000
17,0.001000,0.001000
18,0.002000,0.001000
19,0.002000,0.000000
20,0.001000,0.001000
21,0.001000,0.001000
22,0.002000,0.001000
23,0.001000,0.001000
24,0.002000,0.001000
25,0.001000,0.001000
26,0.002000,0.002000
27,0.002000,0.001000
28,0.002000,0.001000
29,0.002000,0.001000
30,0.003000,0.001000
31,0.003000,0.001000
32,0.003000,0.001000
